Metabolite,Biospecimen,Concentration,Patient Status,Age,Sex,Disease
Acetoacetic acid (HMDB0000060),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
L-Acetylcarnitine (HMDB0000201),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Adenine (HMDB0000034),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Adenosine (HMDB0000050),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Adenosine monophosphate (HMDB0000045),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Adipic acid (HMDB0000448),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Agmatine (HMDB0001432),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
L-Alanine (HMDB0000161),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Alanylalanine (HMDB0028680),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Alanylglutamic acid (HMDB0028686),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Alanylglycine (HMDB0006899),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Alanylisoleucine (HMDB0028690),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Alanylphenylalanine (HMDB0028694),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Alanylproline (HMDB0028695),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Alanylthreonine (HMDB0028697),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Alanyltyrosine (HMDB0028699),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Alanylvaline (HMDB0028700),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Allantoin (HMDB0000462),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
L-Allothreonine (HMDB0004041),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Epi-alpha-amyrin (HMDB0036657),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Glutamyllysine (HMDB0004207),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Glutamylvaline (HMDB0028832),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Leucinic acid (HMDB0000665),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
2-Hydroxy-3-methylbutyric acid (HMDB0000407),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Anacardic acid (HMDB0033896),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Androsterone sulfate (HMDB0002759),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Anserine (HMDB0000194),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
2-Aminobenzoic acid (HMDB0001123),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Citronellyl anthranilate (HMDB0032208),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Apigenin (HMDB0002124),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
L-Arabinose (HMDB0000646),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
D-Arabitol (HMDB0000568),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Arachidic acid (HMDB0002212),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Arachidonic acid (HMDB0001043),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
L-Arginine (HMDB0000517),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Arginylisoleucine (HMDB0028712),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Arginylleucine (HMDB0028713),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Arginylmethionine (HMDB0028715),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Arginylphenylalanine (HMDB0028716),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Arginylproline (HMDB0028717),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Arginyltyrosine (HMDB0028721),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Arginylvaline (HMDB0028722),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
L-Asparagine (HMDB0000168),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
L-Aspartic acid (HMDB0000191),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Aspartyl-Leucine (HMDB0028757),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Aspartylphenylalanine (HMDB0000706),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Aspartyl-Tryptophan (HMDB0028764),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Azelaic acid (HMDB0000784),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Behenic acid (HMDB0000944),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Benzoic acid (HMDB0001870),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
beta-Alanine (HMDB0000056),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
3-Hydroxyisovaleric acid (HMDB0000754),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Hydroxypyruvic acid (HMDB0001352),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
beta-Sitosterol (HMDB0000852),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
beta-Tocopherol (HMDB0006335),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Betaine (HMDB0000043),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Bilirubin (HMDB0000054),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Biliverdin (HMDB0001008),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Biotin (HMDB0000030),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Bufotenin (HMDB0041842),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Cadaverine (HMDB0002322),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Caffeic acid (HMDB0001964),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Caffeine (HMDB0001847),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Campesterol (HMDB0002869),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Capric acid (HMDB0000511),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Caproic acid (HMDB0000535),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Caprylic acid (HMDB0000482),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
L-Carnitine (HMDB0000062),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Catechin (HMDB0002780),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Levoinositol (HMDB0034220),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Cholic acid (HMDB0000619),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Cholesterol (HMDB0000067),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Choline (HMDB0000097),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Phosphorylcholine (HMDB0001565),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Ciliatine (HMDB0011747),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
cis-Vaccenic acid (HMDB0240219),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Citraconic acid (HMDB0000634),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Citramalic acid (HMDB0000426),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Citric acid (HMDB0000094),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Citrulline (HMDB0000904),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Creatinine (HMDB0000562),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Cyclo(Leu-Phe) (HMDB0094673),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Phenylalanylphenylalanine (HMDB0013302),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
L-Cysteine (HMDB0000574),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
L-Cystine (HMDB0000192),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Cytidine (HMDB0000089),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Cytidine monophosphate (HMDB0000095),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Cytosine (HMDB0000630),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
D-Urobilin (HMDB0004161),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Daidzein (HMDB0003312),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Decanoylcarnitine (HMDB0000651),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Dehydroepiandrosterone sulfate (HMDB0001032),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
4-Trimethylammoniobutanoic acid (HMDB0001161),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Deoxycholic acid (HMDB0000626),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Panthenol (HMDB0004231),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Diaminopimelic acid (HMDB0001370),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Dihomolinoleic acid (HMDB0061864),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Dihomo-gamma-linolenic acid (HMDB0002925),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
5alpha-Cholestanol (HMDB0000908),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Diltiazem (HMDB0014487),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Asymmetric dimethylarginine (HMDB0001539),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Symmetric dimethylarginine (HMDB0003334),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Dimethylglycine (HMDB0000092),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Docosadienoate (22:2n6) (HMDB0061714),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Docosahexaenoic acid (HMDB0002183),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Docosapentaenoic acid (22n-6) (HMDB0001976),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Docosapentaenoic acid (22n-3) (HMDB0006528),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Docosatrienoic acid (HMDB0002823),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Dodecanedioic acid (HMDB0000623),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Traumatic acid (HMDB0000933),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Eicosapentaenoic acid (HMDB0001999),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
11Z-Eicosenoic acid (HMDB0002231),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Enterolactone (HMDB0006101),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Epiandrosterone sulfate (HMDB0062657),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Ergosterol (HMDB0000878),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Eriodictyol (HMDB0005810),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Erythritol (HMDB0002994),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Erythronic acid (HMDB0000613),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Ethanolamine (HMDB0000149),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Ethyl glucuronide (HMDB0010325),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Ferulic acid (HMDB0000954),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
FAD (HMDB0001248),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Flavin mononucleotide (HMDB0001520),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
D-Fructose (HMDB0000660),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
L-Fucose (HMDB0000174),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Fucosterol (HMDB0030021),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Fumaric acid (HMDB0000134),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Furosemide (HMDB0001933),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
D-Galactose (HMDB0000143),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Pectic acid (HMDB0003363),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Gallic acid (HMDB0005807),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
gamma-Aminobutyric acid (HMDB0000112),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
gamma-CEHC (HMDB0001931),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
gamma-Glutamylglutamic acid (HMDB0011737),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
gamma-Glutamylisoleucine (HMDB0011170),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
gamma-Glutamylleucine (HMDB0011171),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
gamma-Glutamylmethionine (HMDB0034367),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
gamma-Glutamylphenylalanine (HMDB0000594),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Genistein (HMDB0003217),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Gentisic acid (HMDB0000152),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Gluconic acid (HMDB0000625),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Glucosamine (HMDB0001514),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
D-Glucose (HMDB0000122),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Glucose 6-phosphate (HMDB0001401),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
D-Glutamic acid (HMDB0003339),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
L-Glutamine (HMDB0000641),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Glutaminylglutamine (HMDB0028795),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Glutaminylisoleucine (HMDB0028800),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Glutaric acid (HMDB0000661),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Glyceric acid (HMDB0000139),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Glycerol (HMDB0000131),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
beta-Glycerophosphoric acid (HMDB0002520),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Glycine (HMDB0000123),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Glycitein (HMDB0005781),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Chenodeoxycholic acid glycine conjugate (HMDB0000637),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Glycocholic acid (HMDB0000138),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Deoxycholic acid glycine conjugate (HMDB0000631),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Glycolic acid (HMDB0000115),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Sulfolithocholylglycine (HMDB0002639),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Glycoursodeoxycholic acid (HMDB0000708),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Glycyl-glycine (HMDB0011733),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Glycyl-Isoleucine (HMDB0028844),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Glycylleucine (HMDB0000759),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Glycyl-Methionine (HMDB0028847),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Glycyl-Phenylalanine (HMDB0028848),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Glycylproline (HMDB0000721),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Glycyl-Threonine (HMDB0028851),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Glycyl-Tryptophan (HMDB0028852),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Glycyltyrosine (HMDB0028853),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Glycylvaline (HMDB0028854),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Guanine (HMDB0000132),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Guanosine (HMDB0000133),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Heptaethylene glycol (HMDB0061835),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Heptanoic acid (HMDB0000666),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Hesperetin (HMDB0005782),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Hexadecanedioic acid (HMDB0000672),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Hexadecanedioic acid mono-L-carnitine ester (HMDB0000712),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Hexaethylene glycol (HMDB0061822),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Hexanoylcarnitine (HMDB0000756),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Hexanoylglycine (HMDB0000701),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Hippuric acid (HMDB0000714),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
N-benzoylglycinate (HMDB0062583),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Histamine (HMDB0000870),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Histidylisoleucine (HMDB0028888),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Histidylleucine (HMDB0028889),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Histidylproline (HMDB0028893),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
